"stem","occurrences","frequency","weight"
"paralysi",6,0.000006,0.994024
"paralyz",5,0.000005,0.995018
"paramagnet",14,0.000014,0.986112
"paramet",15,0.000015,0.985127
"parametr",2,0.000002,0.998004
"paramilitari",1,0.000001,0.999002
"paramount",9,0.000009,0.991050
"paranoiac",1,0.000001,0.999002
"paranoid",2,0.000002,0.998004
"paranorm",1,0.000001,0.999002
"paraoxon",1,0.000001,0.999002
"parapet",2,0.000002,0.998004
"paraphernalia",1,0.000001,0.999002
"paraphras",4,0.000004,0.996012
"parapsycholog",3,0.000003,0.997008
"parasit",7,0.000007,0.993032
"parasol",5,0.000005,0.995018
"parasympathet",8,0.000008,0.992040
"paratroop",2,0.000002,0.998004
"paraxi",2,0.000002,0.998004
"paray",2,0.000002,0.998004
"parboil",1,0.000001,0.999002
"parcel",3,0.000003,0.997008
"parch",2,0.000002,0.998004
"parchment",1,0.000001,0.999002
"pardon",12,0.000012,0.988084
"pare",6,0.000006,0.994024
"paredon",4,0.000004,0.996012
"parella",1,0.000001,0.999002
"parenchyma",4,0.000004,0.996012
"parent",108,0.000108,0.897727
"parent'",1,0.000001,0.999002
"parent-child",1,0.000001,0.999002
"parent-teach",1,0.000001,0.999002
"parentag",2,0.000002,0.998004
"parenthes",1,0.000001,0.999002
"parenthet",1,0.000001,0.999002
"parenthood",6,0.000006,0.994024
"parents'",6,0.000006,0.994024
"pari",67,0.000067,0.935260
"pari-mutuel",1,0.000001,0.999002
"pariah",1,0.000001,0.999002
"parichi",2,0.000002,0.998004
"parichy-hamm",1,0.000001,0.999002
"parimutuel",1,0.000001,0.999002
"parioli",1,0.000001,0.999002
"paris'",1,0.000001,0.999002
"parish",12,0.000012,0.988084
"parishion",3,0.000003,0.997008
"parisian",3,0.000003,0.997008
"parisina",1,0.000001,0.999002
"parisolog",1,0.000001,0.999002
"park",178,0.000178,0.837096
"parker",63,0.000063,0.939004
"parker'",2,0.000002,0.998004
"parkersburg",4,0.000004,0.996012
"parkhous",5,0.000005,0.995018
"parkinson'",1,0.000001,0.999002
"parkish",1,0.000001,0.999002
"parklik",1,0.000001,0.999002
"parkway",6,0.000006,0.994024
"parlanc",2,0.000002,0.998004
"parlay",1,0.000001,0.999002
"parley",1,0.000001,0.999002
"parliament",17,0.000017,0.983161
"parliamentari",8,0.000008,0.992040
"parliamentarian",1,0.000001,0.999002
"parlor",19,0.000019,0.981199
"parmer",1,0.000001,0.999002
"parochi",12,0.000012,0.988084
"parodi",7,0.000007,0.993032
"parol",5,0.000005,0.995018
"parole",2,0.000002,0.998004
"parquet",1,0.000001,0.999002
"parri",4,0.000004,0.996012
"parrillo",3,0.000003,0.997008
"parrot",3,0.000003,0.997008
"parrot-lik",1,0.000001,0.999002
"parry'",1,0.000001,0.999002
"parsif",2,0.000002,0.998004
"parsimoni",2,0.000002,0.998004
"parsley",1,0.000001,0.999002
"parson",7,0.000007,0.993032
"parsonag",1,0.000001,0.999002
"parsympathet",1,0.000001,0.999002
"part",623,0.000622,0.536677
"part-tim",26,0.000026,0.974361
"partak",5,0.000005,0.995018
"parthenon",6,0.000006,0.994024
"parti",276,0.000276,0.759029
"partial",36,0.000036,0.964676
"particip",109,0.000109,0.896831
"particl",63,0.000063,0.939004
"particul",3,0.000003,0.997008
"particular",185,0.000185,0.831263
"particularist",1,0.000001,0.999002
"particularistic-seem",1,0.000001,0.999002
"particularli",146,0.000146,0.864288
"partisan",22,0.000022,0.978262
"partit",7,0.000007,0.993032
"partli",49,0.000049,0.952229
"partlow",9,0.000009,0.991050
"partlow'",1,0.000001,0.999002
"partner",49,0.000049,0.952229
"partnership",18,0.000018,0.982179
"partook",1,0.000001,0.999002
"parts-suppli",1,0.000001,0.999002
"party'",9,0.000009,0.991050
"party-lin",1,0.000001,0.999002
"parvenu",2,0.000002,0.998004
"pasadena",6,0.000006,0.994024
"pasadena'",1,0.000001,0.999002
"pascagoula",1,0.000001,0.999002
"pascal",1,0.000001,0.999002
"pascataqua",1,0.000001,0.999002
"paschal",3,0.000003,0.997008
"pasha",3,0.000003,0.997008
"pasley",2,0.000002,0.998004
"paso",11,0.000011,0.989071
"pass",338,0.000338,0.713444
"passabl",1,0.000001,0.999002
"passag",69,0.000069,0.933393
"passageway",4,0.000004,0.996012
"passav",1,0.000001,0.999002
"passeng",35,0.000035,0.965640
"passer-bi",1,0.000001,0.999002
"passerbi",1,0.000001,0.999002
"passers-bi",1,0.000001,0.999002
"passion",55,0.000055,0.946539
"passiv",14,0.000014,0.986112
"passo",1,0.000001,0.999002
"passport",6,0.000006,0.994024
"past",300,0.000300,0.741047
"past-fantasi",1,0.000001,0.999002
"pastel",4,0.000004,0.996012
"pastel-lik",1,0.000001,0.999002
"pastern",10,0.000010,0.990060
"pasternak",1,0.000001,0.999002
"pasteur",1,0.000001,0.999002
"pasti",2,0.000002,0.998004
"pastil",1,0.000001,0.999002
"pastim",5,0.000005,0.995018
"pastor",29,0.000029,0.971445
"pastor'",2,0.000002,0.998004
"pastors'",1,0.000001,0.999002
"pastri",4,0.000004,0.996012
"pastry-lin",1,0.000001,0.999002
"pastur",16,0.000016,0.984144
"pat",46,0.000046,0.955087
"pat'",2,0.000002,0.998004
"patagonian",1,0.000001,0.999002
"patch",28,0.000028,0.972416
"patchen",26,0.000026,0.974361
"patchen'",7,0.000007,0.993032
"patchwork",2,0.000002,0.998004
"pate",2,0.000002,0.998004
"patent",58,0.000058,0.943706
"patent-shar",2,0.000002,0.998004
"patente",1,0.000001,0.999002
"pater",2,0.000002,0.998004
"patern",3,0.000003,0.997008
"paternalist",1,0.000001,0.999002
"paterol",1,0.000001,0.999002
"paterson",1,0.000001,0.999002
"path",58,0.000058,0.943706
"pathet",18,0.000018,0.982179
"pathless",1,0.000001,0.999002
"patho",1,0.000001,0.999002
"pathogen",2,0.000002,0.998004
"pathogenesi",1,0.000001,0.999002
"patholog",43,0.000043,0.957954
"pathologist",2,0.000002,0.998004
"pathway",3,0.000003,0.997008
"pati",1,0.000001,0.999002
"patienc",22,0.000022,0.978262
"patient",131,0.000131,0.877336
"patient'",21,0.000021,0.979240
"patil",1,0.000001,0.999002
"patina",2,0.000002,0.998004
"patio",2,0.000002,0.998004
"patisseri",1,0.000001,0.999002
"patmor",1,0.000001,0.999002
"patriarch",3,0.000003,0.997008
"patriarchi",1,0.000001,0.999002
"patric",5,0.000005,0.995018
"patricia",7,0.000007,0.993032
"patrician",1,0.000001,0.999002
"patrick",1,0.000001,0.999002
"patrick'",3,0.000003,0.997008
"patrimoni",1,0.000001,0.999002
"patriot",27,0.000027,0.973388
"patrist",1,0.000001,0.999002
"patro",1,0.000001,0.999002
"patrol",31,0.000031,0.969507
"patrolman",12,0.000012,0.988084
"patrolman'",1,0.000001,0.999002
"patrolmen",2,0.000002,0.998004
"patron",19,0.000019,0.981199
"patronag",10,0.000010,0.990060
"patronn",3,0.000003,0.997008
"patronne'",1,0.000001,0.999002
"patsi",1,0.000001,0.999002
"patter",4,0.000004,0.996012
"pattern",166,0.000166,0.847191
"patterson",5,0.000005,0.995018
"patti",4,0.000004,0.996012
"patton",1,0.000001,0.999002
"pauciti",1,0.000001,0.999002
"paul",45,0.000045,0.956042
"paul'",1,0.000001,0.999002
"paul-minneapoli",1,0.000001,0.999002
"paula",19,0.000019,0.981199
"paula'",2,0.000002,0.998004
"paulah",1,0.000001,0.999002
"pauley",1,0.000001,0.999002
"pauling'",1,0.000001,0.999002
"paulu",1,0.000001,0.999002
"paunch",2,0.000002,0.998004
"paunchi",2,0.000002,0.998004
"pauper'",1,0.000001,0.999002
"paus",57,0.000057,0.944650
"paus'l",1,0.000001,0.999002
"pauson",2,0.000002,0.998004
"pave",9,0.000009,0.991050
"pavement",13,0.000013,0.987097
"paves",2,0.000002,0.998004
"pavilion",6,0.000006,0.994024
"pavletich",1,0.000001,0.999002
"pavlov",1,0.000001,0.999002
"pavlovitch",1,0.000001,0.999002
"pavlovski",1,0.000001,0.999002
"paw",7,0.000007,0.993032
"pawcatuck",2,0.000002,0.998004
"pawn",2,0.000002,0.998004
"pawnshop",3,0.000003,0.997008
"pawtucket",2,0.000002,0.998004
"pawtucket'",1,0.000001,0.999002
"pawtuxet",4,0.000004,0.996012
"pax",1,0.000001,0.999002
"pax-ordo",3,0.000003,0.997008
"paxam",1,0.000001,0.999002
"paxton",7,0.000007,0.993032
"pay",215,0.000215,0.806720
"payabl",3,0.000003,0.997008
"paycheck",2,0.000002,0.998004
"payday",3,0.000003,0.997008
"paymast",1,0.000001,0.999002
"payment",102,0.000102,0.903124
"payn",17,0.000017,0.983161
"payne'",3,0.000003,0.997008
"payoff",1,0.000001,0.999002
"payrol",16,0.000016,0.984144
"payson",1,0.000001,0.999002
"pb",9,0.000009,0.991050
"pe",1,0.000001,0.999002
"pea",24,0.000024,0.976310
"peabodi",1,0.000001,0.999002
"peabody'",1,0.000001,0.999002
"peac",229,0.000229,0.795516
"peace-lov",2,0.000002,0.998004
"peace-treati",1,0.000001,0.999002
"peaceabl",3,0.000003,0.997008
"peacemak",1,0.000001,0.999002
"peacetim",4,0.000004,0.996012
"peach",4,0.000004,0.996012
"peacock",6,0.000006,0.994024
"peak",31,0.000031,0.969507
"peaki",1,0.000001,0.999002
"peal",5,0.000005,0.995018
"peale'",1,0.000001,0.999002
"peanut",11,0.000011,0.989071
"pear",8,0.000008,0.992040
"pearl",11,0.000011,0.989071
"pearl-gray",1,0.000001,0.999002
"pearli",1,0.000001,0.999002
"pearson",12,0.000012,0.988084
"peasant",19,0.000019,0.981199
"peasanthood",1,0.000001,0.999002
"pebbl",4,0.000004,0.996012
"pebworth",1,0.000001,0.999002
"pec",3,0.000003,0.997008
"pecan",2,0.000002,0.998004
"peccadillo",1,0.000001,0.999002
"peccavi",1,0.000001,0.999002
"peck",8,0.000008,0.992040
"peco",1,0.000001,0.999002
"pecoron",1,0.000001,0.999002
"pector",1,0.000001,0.999002
"pectoral-front",1,0.000001,0.999002
"pectoral-ribcag",1,0.000001,0.999002
"pectorali",2,0.000002,0.998004
"peculiar",33,0.000033,0.967571
"peculiarli",8,0.000008,0.992040
"pedagog",1,0.000001,0.999002
"pedagogu",1,0.000001,0.999002
"pedal",5,0.000005,0.995018
"pedant",2,0.000002,0.998004
"peddl",2,0.000002,0.998004
"peddler",7,0.000007,0.993032
"peden",1,0.000001,0.999002
"pedersen",10,0.000010,0.990060
"pedersen'",1,0.000001,0.999002
"pedest",5,0.000005,0.995018
"pedestrian",8,0.000008,0.992040
"pedigre",4,0.000004,0.996012
"pediment",1,0.000001,0.999002
"pedro",3,0.000003,0.997008
"pee",2,0.000002,0.998004
"pee-we",1,0.000001,0.999002
"peed",1,0.000001,0.999002
"peek",3,0.000003,0.997008
"peel",15,0.000015,0.985127
"peep",4,0.000004,0.996012
"peepi",1,0.000001,0.999002
"peer",45,0.000045,0.956042
"peer-group",1,0.000001,0.999002
"peerless",4,0.000004,0.996012
"peeter",1,0.000001,0.999002
"peg",8,0.000008,0.992040
"pegboard",8,0.000008,0.992040
"pegged-down",1,0.000001,0.999002
"peggin'",1,0.000001,0.999002
"pegler",1,0.000001,0.999002
"peip",1,0.000001,0.999002
"peke",1,0.000001,0.999002
"pel",6,0.000006,0.994024
"pelham",5,0.000005,0.995018
"pellagra",1,0.000001,0.999002
"pellegrini",1,0.000001,0.999002
"pellet",1,0.000001,0.999002
"pelt",11,0.000011,0.989071
"peltri",2,0.000002,0.998004
"peltz",1,0.000001,0.999002
"pelvi",1,0.000001,0.999002
"pelvic",3,0.000003,0.997008
"pemberton",1,0.000001,0.999002
"pembina",4,0.000004,0.996012
"pembrok",2,0.000002,0.998004
"pemmican",1,0.000001,0.999002
"pen",24,0.000024,0.976310
"pen-and-ink",2,0.000002,0.998004
"pena",1,0.000001,0.999002
"penal",4,0.000004,0.996012
"penalti",18,0.000018,0.982179
"penanc",5,0.000005,0.995018
"penchant",1,0.000001,0.999002
"pencil",39,0.000039,0.961789
"pencil-and-sepia",1,0.000001,0.999002
"pencil-push",1,0.000001,0.999002
"pend",14,0.000014,0.986112
"pendant",1,0.000001,0.999002
"pendleton",5,0.000005,0.995018
"pendleton'",1,0.000001,0.999002
"pendulum",2,0.000002,0.998004
"penetr",44,0.000044,0.956997
"pengal",2,0.000002,0.998004
"penicillin",1,0.000001,0.999002
"peninsula",9,0.000009,0.991050
"penman",1,0.000001,0.999002
"penn",5,0.000005,0.995018
"penna.",1,0.000001,0.999002
"pennant",10,0.000010,0.990060
"pennel",1,0.000001,0.999002
"penni",30,0.000030,0.970476
"penniless",3,0.000003,0.997008
"pennock",2,0.000002,0.998004
"pennsylvania",45,0.000045,0.956042
"penny'",3,0.000003,0.997008
"penny-wis",2,0.000002,0.998004
"penros",1,0.000001,0.999002
"pensacola",4,0.000004,0.996012
"pension",22,0.000022,0.978262
"pensiv",1,0.000001,0.999002
"pentagon",13,0.000013,0.987097
"pentagon'",1,0.000001,0.999002
"pentecost",1,0.000001,0.999002
"penthous",1,0.000001,0.999002
"penultim",1,0.000001,0.999002
"penuri",2,0.000002,0.998004
"penutian",1,0.000001,0.999002
"peoni",5,0.000005,0.995018
"peopl",884,0.000883,0.413503
"people'",19,0.000019,0.981199
"people-ori",2,0.000002,0.998004
"peoples'",1,0.000001,0.999002
"pep",1,0.000001,0.999002
"pepinski",1,0.000001,0.999002
"pepper",15,0.000015,0.985127
"pepperi",3,0.000003,0.997008
"peppermint",2,0.000002,0.998004
"pepperoni",1,0.000001,0.999002
"peptid",3,0.000003,0.997008
"peptidas",2,0.000002,0.998004
"peptiz",1,0.000001,0.999002
"per",371,0.000371,0.690308
"per-day",1,0.000001,0.999002
"per-gam",1,0.000001,0.999002
"per-year",1,0.000001,0.999002
"peralta",4,0.000004,0.996012
"perasso",1,0.000001,0.999002
"perceiv",29,0.000029,0.971445
"percent",53,0.000053,0.948432
"percentag",52,0.000052,0.949380
"percept",42,0.000042,0.958911
"perceptu",7,0.000007,0.993032
"perch",5,0.000005,0.995018
"perchanc",1,0.000001,0.999002
"perci",2,0.000002,0.998004
"percol",1,0.000001,0.999002
"percuss",11,0.000011,0.989071
"perdido",3,0.000003,0.997008
"perelman",1,0.000001,0.999002
"peremptori",1,0.000001,0.999002
"perenni",8,0.000008,0.992040
"perennian",2,0.000002,0.998004
"perez",1,0.000001,0.999002
"perfect",79,0.000079,0.924115
"perfection",1,0.000001,0.999002
"perfectionist",1,0.000001,0.999002
"perfectli",31,0.000031,0.969507
"perfidi",1,0.000001,0.999002
"perfor",4,0.000004,0.996012
"perforc",2,0.000002,0.998004
"perform",260,0.000260,0.771258
"performance-capac",1,0.000001,0.999002
"perfum",13,0.000013,0.987097
"perfumeri",1,0.000001,0.999002
"perfunctori",1,0.000001,0.999002
"perfunctorili",1,0.000001,0.999002
"perfus",1,0.000001,0.999002
"pergamon",1,0.000001,0.999002
"pergolesi'",1,0.000001,0.999002
"perhap",307,0.000307,0.735883
"pericl",1,0.000001,0.999002
"periclean",1,0.000001,0.999002
"peridont",1,0.000001,0.999002
"perier",6,0.000006,0.994024
"perier'",2,0.000002,0.998004
"peril",21,0.000021,0.979240
"perilla",1,0.000001,0.999002
"perimet",1,0.000001,0.999002
"perinetti",1,0.000001,0.999002
"period",337,0.000337,0.714157
"peripher",10,0.000010,0.990060
"peripheri",5,0.000005,0.995018
"periphrast",1,0.000001,0.999002
"periscop",1,0.000001,0.999002
"perish",6,0.000006,0.994024
"periwinkl",1,0.000001,0.999002
"perjuri",3,0.000003,0.997008
"perk",1,0.000001,0.999002
"perken",1,0.000001,0.999002
"perki",2,0.000002,0.998004
"perkin",2,0.000002,0.998004
"perl",1,0.000001,0.999002
"perlman",3,0.000003,0.997008
"perluss",2,0.000002,0.998004
"perman",55,0.000055,0.946539
"permeat",6,0.000006,0.994024
"permian",1,0.000001,0.999002
"permiss",34,0.000034,0.966605
"permit",170,0.000170,0.843813
"pernici",1,0.000001,0.999002
"pernod",1,0.000001,0.999002
"peroxid",2,0.000002,0.998004
"perpendicular",2,0.000002,0.998004
"perpendicularli",1,0.000001,0.999002
"perpetr",5,0.000005,0.995018
"perpetu",23,0.000023,0.977286
"perplex",6,0.000006,0.994024
"perri",8,0.000008,0.992040
"perrin",6,0.000006,0.994024
"perrin'",1,0.000001,0.999002
"pers",2,0.000002,0.998004
"persecut",10,0.000010,0.990060
"persecutori",1,0.000001,0.999002
"persever",3,0.000003,0.997008
"persh",1,0.000001,0.999002
"persia",4,0.000004,0.996012
"persian",22,0.000022,0.978262
"persianesqu",1,0.000001,0.999002
"persiflag",1,0.000001,0.999002
"persimmon",1,0.000001,0.999002
"persist",53,0.000053,0.948432
"person",597,0.000596,0.550799
"person'",4,0.000004,0.996012
"person-to-person",1,0.000001,0.999002
"persona",3,0.000003,0.997008
"personag",4,0.000004,0.996012
"personally-own",3,0.000003,0.997008
"personif",3,0.000003,0.997008
"personifi",5,0.000005,0.995018
"personnel",75,0.000075,0.927815
"perspect",29,0.000029,0.971445
"perspir",3,0.000003,0.997008
"persuad",44,0.000044,0.956997
"persuas",17,0.000017,0.983161
"pert",2,0.000002,0.998004
"pertain",13,0.000013,0.987097
"pertin",23,0.000023,0.977286
"perturb",4,0.000004,0.996012
"peru",4,0.000004,0.996012
"perus",3,0.000003,0.997008
"peruvian",2,0.000002,0.998004
"pervad",5,0.000005,0.995018
"pervapor",1,0.000001,0.999002
"pervas",5,0.000005,0.995018
"pervers",8,0.000008,0.992040
"pervert",1,0.000001,0.999002
"pesc",2,0.000002,0.998004
"pessim",6,0.000006,0.994024
"pessimist",7,0.000007,0.993032
"pest",6,0.000006,0.994024
"pester",2,0.000002,0.998004
"pesticid",1,0.000001,0.999002
"pestil",1,0.000001,0.999002
"pestl",1,0.000001,0.999002
"pet",18,0.000018,0.982179
"petal",4,0.000004,0.996012
"pete",23,0.000023,0.977286
"pete'",1,0.000001,0.999002
"peter",41,0.000041,0.959870
"peter'",9,0.000009,0.991050
"peterhous",2,0.000002,0.998004
"petermann",1,0.000001,0.999002
"petersburg",5,0.000005,0.995018
"peterson",8,0.000008,0.992040
"petey",1,0.000001,0.999002
"petipa",1,0.000001,0.999002
"petipa-minku",2,0.000002,0.998004
"petipa-tschaikowski",1,0.000001,0.999002
"petit",31,0.000031,0.969507
"petition",29,0.000029,0.971445
"petitioner'",2,0.000002,0.998004
"petrarchan",1,0.000001,0.999002
"petri",3,0.000003,0.997008
"petrifi",2,0.000002,0.998004
"petrini",1,0.000001,0.999002
"petroleum",1,0.000001,0.999002
"petruchka",1,0.000001,0.999002
"pettersson",1,0.000001,0.999002
"petti",10,0.000010,0.990060
"pettibon",1,0.000001,0.999002
"pettigrew",1,0.000001,0.999002
"pettigrew'",1,0.000001,0.999002
"pettit",2,0.000002,0.998004
"petul",2,0.000002,0.998004
"peugeot",1,0.000001,0.999002
"pew",1,0.000001,0.999002
"pezza",3,0.000003,0.997008
"pfaff",4,0.000004,0.996012
"pfau",1,0.000001,0.999002
"pfc",1,0.000001,0.999002
"pfc.",1,0.000001,0.999002
"pfennig",1,0.000001,0.999002
"pfffted",1,0.000001,0.999002
"pfohl",3,0.000003,0.997008
"ph",10,0.000010,0.990060
"phagocyt",1,0.000001,0.999002
"phalanx",5,0.000005,0.995018
"phantasi",2,0.000002,0.998004
"phantom",2,0.000002,0.998004
"pharmaceut",2,0.000002,0.998004
"pharmaci",5,0.000005,0.995018
"pharmacist",1,0.000001,0.999002
"pharmacolog",2,0.000002,0.998004
"pharmacopoeia",1,0.000001,0.999002
"pharmic",1,0.000001,0.999002
"phase",96,0.000096,0.908554
"pheasant",3,0.000003,0.997008
"phedr",6,0.000006,0.994024
"phelan",1,0.000001,0.999002
"phelp",1,0.000001,0.999002
"phenomen",2,0.000002,0.998004
"phenomena",26,0.000026,0.974361
"phenomenolog",1,0.000001,0.999002
"phenomenon",35,0.000035,0.965640
"phenonenon",1,0.000001,0.999002
"phenothiazin",4,0.000004,0.996012
"phi",3,0.000003,0.997008
"phil",65,0.000065,0.937130
"phil'",2,0.000002,0.998004
"philadelphia",50,0.000050,0.951278
"philadelphia'",1,0.000001,0.999002
"philanthrop",4,0.000004,0.996012
"philanthropi",1,0.000001,0.999002
"philanthropist",1,0.000001,0.999002
"philantrophi",1,0.000001,0.999002
"philantropist",1,0.000001,0.999002
"philco",2,0.000002,0.998004
"philco-sponsor",1,0.000001,0.999002
"philharmon",10,0.000010,0.990060
"philharmoniqu",1,0.000001,0.999002
"philibert",1,0.000001,0.999002
"philip",21,0.000021,0.979240
"philip'",2,0.000002,0.998004
"philipp",1,0.000001,0.999002
"philippi",5,0.000005,0.995018
"philippian",1,0.000001,0.999002
"philippin",7,0.000007,0.993032
"philippoff",2,0.000002,0.998004
"philistin",2,0.000002,0.998004
"philli",4,0.000004,0.996012
"phillip",13,0.000013,0.987097
"philmont",4,0.000004,0.996012
"philolog",4,0.000004,0.996012
"philologist",1,0.000001,0.999002
"philosoph",66,0.000066,0.936195
"philosophi",88,0.000088,0.915844
"phineoppu",1,0.000001,0.999002
"phipp",2,0.000002,0.998004
"phloem",1,0.000001,0.999002
"phobic-lik",1,0.000001,0.999002
"phoenix",9,0.000009,0.991050
"phone",66,0.000066,0.936195
"phonem",12,0.000012,0.988084
"phonet",3,0.000003,0.997008
"phoni",14,0.000014,0.986112
"phonic",1,0.000001,0.999002
"phonograph",4,0.000004,0.996012
"phonolog",15,0.000015,0.985127
"phosgen",1,0.000001,0.999002
"phosphat",8,0.000008,0.992040
"phosphate-buff",1,0.000001,0.999002
"phosphid",1,0.000001,0.999002
"phosphin",1,0.000001,0.999002
"phosphor",14,0.000014,0.986112
"phosphor-screen",1,0.000001,0.999002
"phosphoresc",1,0.000001,0.999002
"phosphoru",1,0.000001,0.999002
"phosphorus-bridg",1,0.000001,0.999002
"photek",1,0.000001,0.999002
"photo",12,0.000012,0.988084
"photo-montag",1,0.000001,0.999002
"photo-offset",1,0.000001,0.999002
"photocathod",9,0.000009,0.991050
"photochem",7,0.000007,0.993032
"photoelectron",3,0.000003,0.997008
"photofloodlight",1,0.000001,0.999002
"photogen",2,0.000002,0.998004
"photograph",64,0.000064,0.938067
"photographi",7,0.000007,0.993032
"photoluminesc",1,0.000001,0.999002
"photomicrograph",1,0.000001,0.999002
"photomicrographi",1,0.000001,0.999002
"photon-count",1,0.000001,0.999002
"photor",1,0.000001,0.999002
"photosensit",1,0.000001,0.999002
"phouma",4,0.000004,0.996012
"phouma'",1,0.000001,0.999002
"phrase",60,0.000060,0.941823
"phrasemak",1,0.000001,0.999002
"phraseolog",3,0.000003,0.997008
"phthalat",1,0.000001,0.999002
"phyfe",4,0.000004,0.996012
"phyla",1,0.000001,0.999002
"phylli",2,0.000002,0.998004
"physic",181,0.000181,0.834591
"physical-chem",1,0.000001,0.999002
"physician",21,0.000021,0.979240
"physician'",1,0.000001,0.999002
"physicist",7,0.000007,0.993032
"physicochem",1,0.000001,0.999002
"physiochem",1,0.000001,0.999002
"physiognomi",2,0.000002,0.998004
"physiolog",27,0.000027,0.973388
"physiologist",2,0.000002,0.998004
"physiotherapist",1,0.000001,0.999002
"physiqu",2,0.000002,0.998004
"pi",3,0.000003,0.997008
"pianism",1,0.000001,0.999002
"pianist",18,0.000018,0.982179
"pianist'",4,0.000004,0.996012
"piano",39,0.000039,0.961789
"piazza",18,0.000018,0.982179
"piazzo",1,0.000001,0.999002
"picasso",14,0.000014,0.986112
"picasso'",3,0.000003,0.997008
"picayun",1,0.000001,0.999002
"piccadilli",2,0.000002,0.998004
"pick",151,0.000151,0.859981
"pick-up",3,0.000003,0.997008
"pickax",1,0.000001,0.999002
"picker",5,0.000005,0.995018
"picket",15,0.000015,0.985127
"pickett'",1,0.000001,0.999002
"pickfair",1,0.000001,0.999002
"pickford",1,0.000001,0.999002
"pickin",1,0.000001,0.999002
"pickl",5,0.000005,0.995018
"pickman",1,0.000001,0.999002
"pickoff",4,0.000004,0.996012
"pickup",14,0.000014,0.986112
"picnic",18,0.000018,0.982179
"picnick",2,0.000002,0.998004
"picon",1,0.000001,0.999002
"pictori",6,0.000006,0.994024
"pictur",237,0.000237,0.789184
"picture-imag",1,0.000001,0.999002
"picture-palac",1,0.000001,0.999002
"picturesqu",9,0.000009,0.991050
"piddington",3,0.000003,0.997008
"piddl",1,0.000001,0.999002
"pidgin",2,0.000002,0.998004
"pie",19,0.000019,0.981199
"piec",221,0.000221,0.801899
"piecem",2,0.000002,0.998004
"piecewis",1,0.000001,0.999002
"piedmont",2,0.000002,0.998004
"piepsam",13,0.000013,0.987097
"piepsam'",1,0.000001,0.999002
"pier",9,0.000009,0.991050
"pier-tabl",1,0.000001,0.999002
"pierc",13,0.000013,0.987097
"piero",2,0.000002,0.998004
"pierpont",1,0.000001,0.999002
"pierr",17,0.000017,0.983161
"pierse",1,0.000001,0.999002
"pierson",2,0.000002,0.998004
"pieta",2,0.000002,0.998004
"pieti",4,0.000004,0.996012
"pietism",1,0.000001,0.999002
"pietro",2,0.000002,0.998004
"pietro'",1,0.000001,0.999002
"piezoelectr",4,0.000004,0.996012
"pig",14,0.000014,0.986112
"pig-drunk",2,0.000002,0.998004
"pig-infest",1,0.000001,0.999002
"pigen",1,0.000001,0.999002
"pigeon",4,0.000004,0.996012
"pigeonhol",1,0.000001,0.999002
"pigment",13,0.000013,0.987097
"pigpen",1,0.000001,0.999002
"pigskin",1,0.000001,0.999002
"pike",41,0.000041,0.959870
"pike'",2,0.000002,0.998004
"pil",1,0.000001,0.999002
"pilat",1,0.000001,0.999002
"pilate'",1,0.000001,0.999002
"pile",49,0.000049,0.952229
"pilfer",1,0.000001,0.999002
"pilgrim",10,0.000010,0.990060
"pilgrim'",1,0.000001,0.999002
"pilgrimag",10,0.000010,0.990060
"pill",23,0.000023,0.977286
"pillag",4,0.000004,0.996012
"pillar",9,0.000009,0.991050
"pillori",2,0.000002,0.998004
"pillow",11,0.000011,0.989071
"pillsburi",1,0.000001,0.999002
"pilot",54,0.000054,0.947485
"pilot'",2,0.000002,0.998004
"pilots'",2,0.000002,0.998004
"pimen",5,0.000005,0.995018
"pimen'",2,0.000002,0.998004
"pimp",5,0.000005,0.995018
"pimpl",2,0.000002,0.998004
"pimplik",1,0.000001,0.999002
"pin",28,0.000028,0.972416
"pin-curl",1,0.000001,0.999002
"pin-point",1,0.000001,0.999002
"pinafor",1,0.000001,0.999002
"pinar",2,0.000002,0.998004
"pinbal",1,0.000001,0.999002
"pinch",15,0.000015,0.985127
"pinch-hit",1,0.000001,0.999002
"pinch-hitt",2,0.000002,0.998004
"pincian",2,0.000002,0.998004
"pine",16,0.000016,0.984144
"pine-knot",1,0.000001,0.999002
"pineappl",9,0.000009,0.991050
"ping",1,0.000001,0.999002
"ping-pong",1,0.000001,0.999002
"pinhead",1,0.000001,0.999002
"pinhol",1,0.000001,0.999002
"pinion",1,0.000001,0.999002
"pink",50,0.000050,0.951278
"pink-pettico",1,0.000001,0.999002
"pinki",1,0.000001,0.999002
"pinkish-whit",1,0.000001,0.999002
"pinkli",1,0.000001,0.999002
"pinnacl",2,0.000002,0.998004
"pinochl",1,0.000001,0.999002
"pinpoint",7,0.000007,0.993032
"pinscher",1,0.000001,0.999002
"pinsk",1,0.000001,0.999002
"pint",13,0.000013,0.987097
"pint-siz",1,0.000001,0.999002
"pinto",1,0.000001,0.999002
"pioneer",29,0.000029,0.971445
"pioneer'",1,0.000001,0.999002
"piou",10,0.000010,0.990060
"piousli",1,0.000001,0.999002
"pip",23,0.000023,0.977286
"pip'",13,0.000013,0.987097
"pipe",34,0.000034,0.966605
"pipelin",6,0.000006,0.994024
"piper",1,0.000001,0.999002
"pipgra",1,0.000001,0.999002
"piqu",2,0.000002,0.998004
